ESPNPosAndRank,row_id,Prediction,Rank
RB1,0,1.4021742,1
RB2,1,2.043411447,2
RB3,2,2.814599556,3
RB4,3,3.372032587,4
WR1,4,4.601821664,5
RB5,5,6.629119902,6
WR2,6,7.102578117,7
WR3,7,8.348752382,8
RB6,8,10.04087015,10
WR4,9,11.73197262,11
WR5,10,9.475406823,9
RB7,11,12.22474739,12
RB8,12,14.00113733,15
TE1,13,16.75047789,17
WR6,14,13.86100354,13
RB9,15,16.50944286,16
WR7,16,19.00926301,19
WR8,17,19.42566921,20
RB10,18,21.78131008,22
RB11,19,13.97327295,14
WR9,20,27.00249015,26
RB12,21,17.29690686,18
WR10,22,19.94534618,21
QB1,23,24.08115268,23
WR11,24,25.82267566,25
RB13,25,27.48916032,27
WR12,26,33.94137909,34
QB2,27,29.97756573,31
RB14,28,29.55687318,29
RB15,29,29.69104398,30
TE2,30,25.00545047,24
RB16,31,28.75851627,28
RB17,32,35.84860586,36
WR13,33,31.79631612,32
TE3,34,33.8351113,33
WR14,35,43.99963582,44
QB3,36,47.54105683,49
WR15,37,51.16007505,52
WR16,38,38.43810366,38
QB4,39,38.63614903,39
WR17,40,39.87518422,41
QB5,41,42.58892075,43
WR18,42,46.13034175,46
RB18,43,35.1113076,35
QB6,44,47.27738912,48
WR19,45,51.15126309,51
QB7,46,56.96159071,57
WR20,47,59.38299753,59
RB19,48,62.75810884,62
QB8,49,62.93355547,63
WR21,50,66.81802211,66
RB20,51,52.51362759,54
QB9,52,55.97503894,56
RB21,53,58.71040916,58
QB10,54,60.62369648,60
RB22,55,75.89030754,75
WR22,56,76.71679143,76
RB23,57,78.48434934,78
WR23,58,82.76360616,83
RB24,59,83.78357321,84
QB11,60,79.04285067,79
WR24,61,84.33683499,85
WR25,62,64.98156523,64
RB25,63,68.02683603,68
QB12,64,67.03138663,67
WR26,65,72.16585527,72
RB27,66,73.93341317,74
RB26,67,82.52708322,82
QB13,68,87.39451615,88
QB14,69,90.08860959,90
QB15,70,86.81242149,87
RB28,71,89.47364825,89
QB16,72,93.52290099,94
RB29,73,93.98260237,95
WR27,74,91.9168409,91
WR28,75,93.26416873,93
QB17,76,36.5666943,37
WR29,77,38.7396141,40
TE4,78,42.46206004,42
QB18,79,44.40277089,45
QB19,80,98.29554193,97
RB30,81,99.62493044,99
WR30,82,101.3297892,102
WR31,83,103.1410242,103
TE5,84,99.03125644,98
QB20,85,100.4800582,101
WR32,86,93.00423529,92
RB31,87,99.91201124,100
WR33,88,104.3841795,104
RB32,89,113.4157176,116
RB33,90,107.9965277,109
TE6,91,112.2891163,114
RB34,92,112.2891163,114
WR34,93,104.8768902,105
WR35,94,105.2749619,106
QB21,95,107.9281281,107
RB35,96,107.9281281,107
WR36,97,110.938985,112
RB36,98,110.7591133,111
TE7,99,111.5523693,113
WR37,100,117.5020045,117
RB37,101,118.6175848,122
RB38,102,119.1880331,126
TE8,103,124.1588493,152
WR38,104,134.0324465,203
WR39,105,134.4488527,204
WR40,106,131.1982404,202
WR41,107,46.81447012,47
RB39,108,48.68768461,50
QB22,109,52.24304038,53
WR43,110,55.80533646,55
WR42,111,61.43094299,61
WR44,112,66.05986766,65
RB40,113,127.1637992,163
RB41,114,123.3284232,134
TE9,115,123.3284232,134
WR45,116,123.3284232,134
WR68,117,123.3284232,134
WR69,118,123.3284232,134
WR70,119,123.3284232,134
WR71,120,123.3284232,134
WR46,121,121.7495167,130
TE13,122,121.5696449,128
TE14,123,122.362901,132
TE15,124,123.3284232,134
WR47,125,123.3284232,134
QB23,126,123.3284232,134
RB43,127,123.3284232,134
TE16,128,126.0033828,155
RB42,129,127.1189631,162
RB58,130,127.6894114,164
RB44,131,127.6894114,164
TE17,132,127.6894114,164
WR50,133,119.0527617,123
WR51,134,119.0527617,123
WR52,135,119.1869325,125
WR53,136,121.6941312,129
WR54,137,69.85260628,69
WR55,138,70.99741209,70
WR56,139,71.13158289,71
WR57,140,127.6894114,164
WR58,141,127.6894114,164
WR59,142,123.3284232,134
WR60,143,123.3284232,134
WR61,144,123.3284232,134
WR62,145,123.3284232,134
WR63,146,123.3284232,134
WR64,147,123.3284232,134
WR65,148,123.3284232,134
WR66,149,73.63878163,73
WR67,150,127.6894114,164
WR48,151,127.6894114,164
TE18,152,127.6894114,164
TE19,153,127.6894114,164
RB45,154,127.6894114,164
WR72,155,127.6894114,164
WR73,156,121.9740013,131
WR74,157,117.6130131,118
WR75,158,117.6130131,118
WR76,159,117.6130131,118
WR77,160,117.6130131,118
RB46,161,76.7345302,77
WR49,162,79.44826672,80
RB47,163,81.65098778,81
RB48,164,86.64620856,86
RB49,165,122.7551941,133
RB50,166,125.1807265,153
RB51,167,125.1807265,153
RB52,168,128.0131227,175
RB53,169,131.0350844,189
RB54,170,131.0350844,189
RB55,171,126.4822854,156
RB56,172,126.4822854,156
RB57,173,126.4822854,156
TE20,174,131.0350844,189
WR78,175,131.0350844,189
WR79,176,131.0350844,189
WR80,177,131.0350844,189
WR81,178,131.0350844,189
WR82,179,131.0350844,189
WR83,180,131.0350844,189
WR84,181,131.0350844,189
WR85,182,131.0350844,189
WR86,183,131.0350844,189
WR87,184,131.0350844,189
WR88,185,135.815571,211
WR89,186,141.9753864,212
WR90,187,96.52808526,96
RB59,188,126.4822854,156
RB60,189,126.4822854,156
RB61,190,126.4822854,156
RB62,191,130.3176614,176
RB63,192,130.3176614,176
RB64,193,130.3176614,176
RB65,194,110.4820826,110
RB66,195,120.9600309,127
RB67,196,130.3176614,176
RB68,197,130.3176614,176
RB69,198,130.3176614,176
RB70,199,130.3176614,176
RB71,200,130.3176614,176
TE12,201,130.3176614,176
TE10,202,130.3176614,176
TE11,203,130.3176614,176
RB72,204,130.3176614,176
RB73,205,130.3176614,176
RB74,206,134.8704604,205
RB75,207,134.8704604,205
RB76,208,134.8704604,205
RB77,209,134.8704604,205
TE21,210,134.8704604,205
TE22,211,134.8704604,205
