Position,2018Actual,2019Actual
RB1,1,1
RB2,3,2
WR1,2,6
RB3,4,3
QB1,25,27
RB4,5,4
QB2,41,28
RB5,6,5
TE1,23,11
WR2,7,7
QB3,42,35
TE2,36,32
WR3,9,9
QB4,43,39
RB6,8,8
QB5,45,43
WR4,11,10
QB6,47,45
QB7,49,47
RB7,10,13
RB8,12,15
WR5,13,12
RB9,15,17
RB10,16,19
RB11,19,20
TE3,44,33
WR6,14,14
QB8,50,48
QB9,55,51
QB10,57,55
RB12,21,23
RB13,22,25
RB14,24,29
QB11,62,63
WR7,17,16
WR8,18,18
WR9,20,21
WR10,27,22
WR11,28,24
QB12,70,68
WR12,29,26
RB15,26,30
WR13,30,36
TE4,67,80
RB16,32,31
TE5,75,82
WR14,31,37
WR15,33,38
WR16,35,40
RB17,34,34
WR17,37,41
RB18,48,44
QB13,72,69
RB19,51,46
WR18,38,42
WR19,39,49
QB14,77,70
QB15,80,71
WR20,40,50
QB16,83,72
WR21,46,52
QB17,88,77
WR22,56,56
RB20,52,53
WR23,59,57
QB18,93,79
QB19,95,81
WR24,60,60
WR25,61,62
TE6,79,94
QB20,102,85
RB21,53,54
WR26,63,67
QB21,104,97
WR27,64,75
WR28,65,76
TE7,90,98
WR29,66,78
WR30,69,84
QB22,107,112
TE8,92,105
QB23,120,122
WR31,71,86
WR32,73,87
WR33,82,88
RB22,54,58
TE9,100,115
QB24,123,123
RB23,58,59
WR34,85,93
RB24,68,61
RB25,74,64
WR35,86,95
TE10,113,137
QB25,127,135
RB26,76,65
RB27,78,66
RB28,81,73
WR36,87,101
WR37,89,102
WR38,96,103
WR39,97,104
WR40,98,107
RB29,84,74
RB30,91,83
RB31,94,89
RB32,103,90
WR41,99,108
WR42,101,110
RB33,105,91
RB40,122,114
WR43,106,111
WR44,109,113
WR45,116,117
RB34,108,92
WR46,118,118
RB35,110,96
WR47,121,119
RB36,112,99
RB37,114,100
RB38,115,106
WR48,124,124
WR49,126,125
WR50,129,126
RB39,117,109
